ORDER_NUMBER,QUANTITY_ORDERED,PRICE EACH,SALES,ORDER_DATE,STATUS,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMER_NAME,PHONE,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,POSTALCODE
"10,278",29,90.86,2634.94,8/6/2004 0:00,Shipped,8,2004,Classic Cars,77,S18_1889,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,USA,King,Sue,Small,83030
"10,287",44,82.39,3625.16,8/30/2004 0:00,Shipped,8,2004,Classic Cars,77,S18_1889,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Medium,1203
"10,300",41,92.4,3788.4,10/4/2003 0:00,Shipped,10,2003,Classic Cars,77,S18_1889,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Medium,60528
"10,310",20,91.63,1832.6,10/16/2004 0:00,Shipped,10,2004,Classic Cars,77,S18_1889,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,Germany,Pfalzheim,Henriette,Small,50739
"10,321",37,78.54,2905.98,11/4/2004 0:00,Shipped,11,2004,Classic Cars,77,S18_1889,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,USA,Benitez,Violeta,Small,50553
"10,329",29,100,2954.81,11/15/2004 0:00,Shipped,11,2004,Classic Cars,77,S18_1889,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,10022
"10,342",55,65.45,3599.75,11/24/2004 0:00,Shipped,11,2004,Classic Cars,77,S18_1889,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,3004
"10,363",22,100,3686.54,1/6/2005 0:00,Shipped,1,2005,Classic Cars,77,S18_1889,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,FIN-02271
"10,377",31,67.76,2100.56,2/9/2005 0:00,Shipped,2,2005,Classic Cars,77,S18_1889,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small,21240
"10,389",49,79.22,3881.78,3/3/2005 0:00,Shipped,3,2005,Classic Cars,77,S18_1889,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,S-844 67
"10,405",61,73.92,4509.12,4/14/2005 0:00,Shipped,4,2005,Classic Cars,77,S18_1889,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Medium,67000
"10,419",39,83.93,3273.27,5/17/2005 0:00,Shipped,5,2005,Classic Cars,77,S18_1889,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,5020
"10,109",38,100,4432.7,3/10/2003 0:00,Shipped,3,2003,Classic Cars,142,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Medium,71270
"10,122",31,100,4100.99,5/8/2003 0:00,Shipped,5,2003,Classic Cars,142,S18_1984,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,France,Lebihan,Laurence,Medium,13008
"10,136",36,100,5274.72,7/4/2003 0:00,Shipped,7,2003,Classic Cars,142,S18_1984,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Medium,31000
"10,148",25,100,4232,9/11/2003 0:00,Shipped,9,2003,Classic Cars,142,S18_1984,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,2060
"10,161",48,100,6145.44,10/17/2003 0:00,Shipped,10,2003,Classic Cars,142,S18_1984,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Medium,8200
"10,171",35,100,4680.2,11/5/2003 0:00,Shipped,11,2003,Classic Cars,142,S18_1984,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium,H1J 1C3
"10,181",21,100,3286.08,11/12/2003 0:00,Shipped,11,2003,Classic Cars,142,S18_1984,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,N 5804
"10,192",47,100,7421.3,11/20/2003 0:00,Shipped,11,2003,Classic Cars,142,S18_1984,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Large,62005
"10,204",38,100,6432.64,12/2/2003 0:00,Shipped,12,2003,Classic Cars,142,S18_1984,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,10022
"10,212",41,100,4840.87,1/16/2004 0:00,Shipped,1,2004,Classic Cars,142,S18_1984,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,226",24,100,3892.08,2/26/2004 0:00,Shipped,2,2004,Classic Cars,142,S18_1984,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium,91217
"10,240",37,100,5526.32,4/13/2004 0:00,Shipped,4,2004,Classic Cars,142,S18_1984,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium,530-0003
"10,253",33,100,4459.62,6/1/2004 0:00,Cancelled,6,2004,Classic Cars,142,S18_1984,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Medium,WX1 6LT
"10,266",49,100,6203.4,7/6/2004 0:00,Shipped,7,2004,Classic Cars,142,S18_1984,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Medium,42100
"10,278",29,100,3754.05,8/6/2004 0:00,Shipped,8,2004,Classic Cars,142,S18_1984,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,USA,King,Sue,Medium,83030
"10,287",24,100,3516.48,8/30/2004 0:00,Shipped,8,2004,Classic Cars,142,S18_1984,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Medium,1203
"10,301",47,100,7488.04,10/5/2003 0:00,Shipped,10,2003,Classic Cars,142,S18_1984,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Large,N 0106
"10,310",24,100,3448.08,10/16/2004 0:00,Shipped,10,2004,Classic Cars,142,S18_1984,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,Germany,Pfalzheim,Henriette,Medium,50739
"10,321",25,100,3734,11/4/2004 0:00,Shipped,11,2004,Classic Cars,142,S18_1984,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,50553
"10,331",30,32.47,974.1,11/17/2004 0:00,Shipped,11,2004,Classic Cars,142,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small,71270
"10,342",22,100,3160.74,11/24/2004 0:00,Shipped,11,2004,Classic Cars,142,S18_1984,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,3004
"10,356",27,64.69,1746.63,12/9/2004 0:00,Shipped,12,2004,Classic Cars,142,S18_1984,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Small,75508
"10,366",34,100,4207.84,1/10/2005 0:00,Shipped,1,2005,Classic Cars,142,S18_1984,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,Belgium,Cartrain,Pascale,Medium,B-6000
"10,377",36,100,4352.76,2/9/2005 0:00,Shipped,2,2005,Classic Cars,142,S18_1984,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium,21240
"10,390",34,43.05,1463.7,3/4/2005 0:00,Shipped,3,2005,Classic Cars,142,S18_1984,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,97562
"10,406",48,100,7169.28,4/15/2005 0:00,Disputed,4,2005,Classic Cars,142,S18_1984,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Large,1734
"10,419",34,100,4594.76,5/17/2005 0:00,Shipped,5,2005,Classic Cars,142,S18_1984,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,5020
"10,104",24,100,3457.92,1/31/2003 0:00,Shipped,1,2003,Classic Cars,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,115",46,100,7381.16,4/4/2003 0:00,Shipped,4,2003,Classic Cars,163,S18_2238,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,USA,Hernandez,Maria,Large,10022
"10,127",45,100,7146.9,6/3/2003 0:00,Shipped,6,2003,Classic Cars,163,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Large,10022
"10,141",39,100,5938.53,8/1/2003 0:00,Shipped,8,2003,Classic Cars,163,S18_2238,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,FIN-02271
"10,151",43,100,7110.91,9/21/2003 0:00,Shipped,9,2003,Classic Cars,163,S18_2238,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Large,90110
"10,165",29,100,5032.95,10/22/2003 0:00,Shipped,10,2003,Classic Cars,163,S18_2238,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,79903
"10,176",20,100,3667.6,11/6/2003 0:00,Shipped,11,2003,Classic Cars,163,S18_2238,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Medium,42100
"10,184",46,100,7381.16,11/14/2003 0:00,Shipped,11,2003,Classic Cars,163,S18_2238,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Large,41101
"10,195",27,100,5128.11,11/25/2003 0:00,Shipped,11,2003,Classic Cars,163,S18_2238,Mini Classics,9145554562,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium,24067
"10,207",44,100,7060.24,12/9/2003 0:00,Shipped,12,2003,Classic Cars,163,S18_2238,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Large,51003
"10,219",43,100,8448.64,2/10/2004 0:00,Shipped,2,2004,Classic Cars,163,S18_2238,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,USA,Taylor,Sue,Large,94217
"10,230",49,100,7300.51,3/15/2004 0:00,Shipped,3,2004,Classic Cars,163,S18_2238,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Large,60528
"10,246",40,100,6549.2,5/5/2004 0:00,Shipped,5,2004,Classic Cars,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,259",30,100,5697.9,6/15/2004 0:00,Shipped,6,2004,Classic Cars,163,S18_2238,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,69045
"10,271",50,100,9169,7/20/2004 0:00,Shipped,7,2004,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Large,97562
"10,282",23,100,3238.63,8/20/2004 0:00,Shipped,8,2004,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,97562
"10,292",26,100,4554.94,9/8/2004 0:00,Shipped,9,2004,Classic Cars,163,S18_2238,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,305",27,100,3934.44,10/13/2004 0:00,Shipped,10,2004,Classic Cars,163,S18_2238,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,51247
"10,314",42,100,5776.26,10/22/2004 0:00,Shipped,10,2004,Classic Cars,163,S18_2238,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Medium,8200
"10,324",47,100,7207.45,11/5/2004 0:00,Shipped,11,2004,Classic Cars,163,S18_2238,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,USA,Frick,Michael,Large,10022
"10,336",49,100,7460.74,11/20/2004 0:00,Shipped,11,2004,Classic Cars,163,S18_2238,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,France,Bertrand,Marie,Large,75012
"10,349",38,100,6719.54,12/1/2004 0:00,Shipped,12,2004,Classic Cars,163,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,10022
"10,358",20,100,2428,12/10/2004 0:00,Shipped,12,2004,Classic Cars,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,28034
"10,371",25,100,2602.25,1/23/2005 0:00,Shipped,1,2005,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,97562
"10,382",25,88,2200,2/17/2005 0:00,Shipped,2,2005,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,97562
"10,412",41,100,6712.93,5/3/2005 0:00,Shipped,5,2005,Classic Cars,163,S18_2238,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,425",28,100,5318.04,5/31/2005 0:00,In Process,5,2005,Classic Cars,163,S18_2238,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,44000
"10,100",50,67.8,3390,1/6/2003 0:00,Shipped,1,2003,Vintage Cars,60,S18_2248,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,62005
"10,110",32,50.25,1608,3/18/2003 0:00,Shipped,3,2003,Vintage Cars,60,S18_2248,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,EC2 5NT
"10,124",42,53.88,2262.96,5/21/2003 0:00,Shipped,5,2003,Vintage Cars,60,S18_2248,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,USA,King,Sue,Small,83030
"10,149",24,62.36,1496.64,9/12/2003 0:00,Shipped,9,2003,Vintage Cars,60,S18_2248,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,USA,Taylor,Sue,Small,94217
"10,162",27,69.62,1879.74,10/18/2003 0:00,Shipped,10,2003,Vintage Cars,60,S18_2248,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,USA,Brown,Julie,Small,
"10,173",26,57.51,1495.26,11/5/2003 0:00,Shipped,11,2003,Vintage Cars,60,S18_2248,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,24100
"10,182",38,61.15,2323.7,11/12/2003 0:00,Shipped,11,2003,Vintage Cars,60,S18_2248,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,97562
"10,193",42,59.33,2491.86,11/21/2003 0:00,Shipped,11,2003,Vintage Cars,60,S18_2248,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,Australia,Connery,Sean,Small,3150
"10,204",23,71.44,1643.12,12/2/2003 0:00,Shipped,12,2003,Vintage Cars,60,S18_2248,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Small,10022
"10,214",21,62.96,1322.16,1/26/2004 0:00,Shipped,1,2004,Vintage Cars,60,S18_2248,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Small,28023
"10,227",28,50.85,1423.8,3/2/2004 0:00,Shipped,3,2004,Vintage Cars,60,S18_2248,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,France,Saveley,Mary,Small,69004
"10,241",33,72.65,2397.45,4/13/2004 0:00,Shipped,4,2004,Vintage Cars,60,S18_2248,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Small,67000
"10,280",25,62.96,1574,8/17/2004 0:00,Shipped,8,2004,Vintage Cars,60,S18_2248,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Small,10100
"10,288",28,61.75,1729,9/1/2004 0:00,Shipped,9,2004,Vintage Cars,60,S18_2248,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Small,69045
"10,303",46,49.04,2255.84,10/6/2004 0:00,Shipped,10,2004,Vintage Cars,60,S18_2248,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Small,41101
"10,312",30,61.15,1834.5,10/21/2004 0:00,Shipped,10,2004,Vintage Cars,60,S18_2248,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,97562
"10,332",38,84.25,3201.5,11/17/2004 0:00,Shipped,11,2004,Vintage Cars,60,S18_2248,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,EC2 5NT
"10,344",40,56.91,2276.4,11/25/2004 0:00,Shipped,11,2004,Vintage Cars,60,S18_2248,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,France,Lebihan,Laurence,Small,13008
"10,367",45,100,8884.8,1/12/2005 0:00,Resolved,1,2005,Vintage Cars,60,S18_2248,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Large,90003
"10,379",27,49.3,1331.1,2/10/2005 0:00,Shipped,2,2005,Vintage Cars,60,S18_2248,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,28034
"10,407",42,72.65,3051.3,4/22/2005 0:00,On Hold,4,2005,Vintage Cars,60,S18_2248,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,94217
"10,420",36,63.57,2288.52,5/29/2005 0:00,In Process,5,2005,Vintage Cars,60,S18_2248,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,2067
"10,104",29,100,3772.61,1/31/2003 0:00,Shipped,1,2003,Trucks and Buses,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,114",39,100,4164.42,4/1/2003 0:00,Shipped,4,2003,Trucks and Buses,122,S18_2319,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,France,Bertrand,Marie,Medium,75012
"10,127",45,100,6295.95,6/3/2003 0:00,Shipped,6,2003,Trucks and Buses,122,S18_2319,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,10022
"10,141",47,100,6287.66,8/1/2003 0:00,Shipped,8,2003,Trucks and Buses,122,S18_2319,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,FIN-02271
"10,151",49,100,5412.54,9/21/2003 0:00,Shipped,9,2003,Trucks and Buses,122,S18_2319,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Medium,90110
"10,165",46,100,5984.14,10/22/2003 0:00,Shipped,10,2003,Trucks and Buses,122,S18_2319,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,79903
"10,175",48,100,5891.04,11/6/2003 0:00,Shipped,11,2003,Trucks and Buses,122,S18_2319,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,UK,Brown,Ann,Medium,WX3 6FW
"10,184",46,100,5984.14,11/14/2003 0:00,Shipped,11,2003,Trucks and Buses,122,S18_2319,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Medium,41101
"10,195",35,100,3608.15,11/25/2003 0:00,Shipped,11,2003,Trucks and Buses,122,S18_2319,Mini Classics,9145554562,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium,24067
"10,207",43,100,5752.54,12/9/2003 0:00,Shipped,12,2003,Trucks and Buses,122,S18_2319,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Medium,51003
"10,229",26,100,3765.32,3/11/2004 0:00,Shipped,3,2004,Trucks and Buses,122,S18_2319,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,97562
"10,246",22,98.18,2159.96,5/5/2004 0:00,Shipped,5,2004,Trucks and Buses,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,28034
"10,259",34,99.41,3379.94,6/15/2004 0:00,Shipped,6,2004,Trucks and Buses,122,S18_2319,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,69045
"10,271",50,100,5093.5,7/20/2004 0:00,Shipped,7,2004,Trucks and Buses,122,S18_2319,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,97562
"10,281",48,100,5773.44,8/19/2004 0:00,Shipped,8,2004,Trucks and Buses,122,S18_2319,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium,70267
"10,292",41,100,4528.86,9/8/2004 0:00,Shipped,9,2004,Trucks and Buses,122,S18_2319,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,305",36,100,4816.08,10/13/2004 0:00,Shipped,10,2004,Trucks and Buses,122,S18_2319,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,51247
"10,313",29,100,3416.78,10/22/2004 0:00,Shipped,10,2004,Trucks and Buses,122,S18_2319,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Medium,V3F 2K1
"10,324",33,37.48,1236.84,11/5/2004 0:00,Shipped,11,2004,Trucks and Buses,122,S18_2319,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,USA,Frick,Michael,Small,10022
"10,334",46,100,5814.86,11/19/2004 0:00,On Hold,11,2004,Trucks and Buses,122,S18_2319,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,Sweden,Berglund,Christina,Medium,S-958 22
"10,349",38,100,5223.48,12/1/2004 0:00,Shipped,12,2004,Trucks and Buses,122,S18_2319,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,10022
"10,358",20,36.42,728.4,12/10/2004 0:00,Shipped,12,2004,Trucks and Buses,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,28034
"10,370",22,100,3949,1/20/2005 0:00,Shipped,1,2005,Trucks and Buses,122,S18_2319,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,2060
"10,383",27,100,3843.99,2/22/2005 0:00,Shipped,2,2005,Trucks and Buses,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,412",56,98.18,5498.08,5/3/2005 0:00,Shipped,5,2005,Trucks and Buses,122,S18_2319,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,425",38,99.41,3777.58,5/31/2005 0:00,In Process,5,2005,Trucks and Buses,122,S18_2319,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,44000
"10,101",25,100,3782,1/9/2003 0:00,Shipped,1,2003,Vintage Cars,127,S18_2325,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Medium,60528
"10,110",33,100,3859.68,3/18/2003 0:00,Shipped,3,2003,Vintage Cars,127,S18_2325,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,EC2 5NT
"10,124",42,100,4431.84,5/21/2003 0:00,Shipped,5,2003,Vintage Cars,127,S18_2325,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,USA,King,Sue,Medium,83030
"10,149",33,100,4950.33,9/12/2003 0:00,Shipped,9,2003,Vintage Cars,127,S18_2325,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,USA,Taylor,Sue,Medium,94217
"10,162",38,100,4299.7,10/18/2003 0:00,Shipped,10,2003,Vintage Cars,127,S18_2325,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,USA,Brown,Julie,Medium,
"10,173",31,100,4492.83,11/5/2003 0:00,Shipped,11,2003,Vintage Cars,127,S18_2325,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,24100
"10,182",20,100,2212,11/12/2003 0:00,Shipped,11,2003,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,97562
"10,193",44,100,4642.88,11/21/2003 0:00,Shipped,11,2003,Vintage Cars,127,S18_2325,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,Australia,Connery,Sean,Medium,3150
"10,204",26,100,3206.32,12/2/2003 0:00,Shipped,12,2003,Vintage Cars,127,S18_2325,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,10022
"10,214",27,100,3604.23,1/26/2004 0:00,Shipped,1,2004,Vintage Cars,127,S18_2325,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Medium,28023
"10,227",46,100,7017.76,3/2/2004 0:00,Shipped,3,2004,Vintage Cars,127,S18_2325,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,France,Saveley,Mary,Large,69004
"10,243",47,100,6154.18,4/26/2004 0:00,Shipped,4,2004,Vintage Cars,127,S18_2325,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Medium,51003
"10,280",37,100,4750.8,8/17/2004 0:00,Shipped,8,2004,Vintage Cars,127,S18_2325,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Medium,10100
